id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
29008767,35594087,Brooklyn,Fort Greene,40.68515,-73.97381,Entire home/apt,134,2,15,1.91,1,41
9625826,11497855,Brooklyn,Prospect-Lefferts Gardens,40.66145,-73.96005,Private room,65,10,1,0.02,1,0
2714699,7503643,Brooklyn,Greenpoint,40.72713,-73.94141,Entire home/apt,159,30,7,0.12,52,327
33444260,12913455,Manhattan,East Village,40.72656,-73.98758,Entire home/apt,300,2,16,5.78,1,52
34087005,245960335,Queens,Jamaica,40.68055,-73.78263,Private room,95,1,0,0.0,1,180
22705963,166873118,Manhattan,Murray Hill,40.74476,-73.9755,Private room,70,15,0,0.0,1,0
204065,51038,Brooklyn,Clinton Hill,40.68634,-73.96161,Entire home/apt,248,2,58,0.61,6,199
35715171,71276635,Manhattan,Washington Heights,40.83571,-73.94179,Entire home/apt,750,1,1,1.0,5,364
17208528,84523696,Brooklyn,Bushwick,40.69423,-73.91993,Private room,90,2,3,0.12,1,0
24188354,49704571,Brooklyn,Williamsburg,40.71972,-73.94462,Entire home/apt,80,30,5,0.42,8,161
34787546,252445373,Manhattan,Washington Heights,40.85798,-73.92855,Entire home/apt,85,7,0,0.0,1,67
12897946,70640302,Brooklyn,Flatbush,40.65468,-73.95703,Private room,50,3,3,0.08,1,0
29898471,224806557,Brooklyn,Williamsburg,40.72084,-73.9554,Entire home/apt,295,2,4,0.58,1,0
21967654,81379480,Manhattan,Lower East Side,40.72317,-73.99084,Private room,80,14,0,0.0,1,0
11573292,59493714,Manhattan,East Village,40.72367,-73.98401,Private room,109,3,0,0.0,1,0
3548393,6212988,Manhattan,West Village,40.73326,-74.00604,Private room,100,3,16,0.26,1,0
10886971,8261208,Brooklyn,Bedford-Stuyvesant,40.68585,-73.94875,Private room,45,2,27,0.78,1,339
1981410,6638763,Queens,Ditmars Steinway,40.77906,-73.91265,Entire home/apt,135,3,38,0.62,1,243
33788019,251704655,Bronx,Port Morris,40.80273,-73.91519,Entire home/apt,115,4,9,3.97,3,124
8391096,5338040,Manhattan,Upper East Side,40.77372,-73.94803,Private room,185,5,7,0.15,1,341
30062344,49290775,Brooklyn,Greenpoint,40.73561,-73.95873,Entire home/apt,150,3,3,0.48,1,42
30392649,107434423,Manhattan,Kips Bay,40.74005,-73.97884,Entire home/apt,290,30,0,0.0,232,312
22814859,168619140,Brooklyn,Canarsie,40.63773,-73.91729,Private room,80,1,5,0.53,2,0
28031654,156958091,Brooklyn,Bushwick,40.6932,-73.90639,Private room,65,1,26,2.52,3,0
25127539,40830538,Brooklyn,Prospect-Lefferts Gardens,40.65889,-73.95627,Private room,45,31,3,0.27,2,242
15831005,102500495,Brooklyn,East Flatbush,40.66048,-73.93335,Entire home/apt,80,1,127,6.54,1,7
35065348,214738765,Queens,Richmond Hill,40.6944,-73.83192,Private room,75,1,5,4.05,3,365
4556564,23612276,Manhattan,Harlem,40.82083,-73.95436,Private room,69,7,15,0.27,1,213
13063360,13270888,Queens,Astoria,40.76764,-73.91633,Private room,65,4,28,0.74,1,0
26138957,9787070,Brooklyn,Bedford-Stuyvesant,40.69462,-73.93249,Private room,60,4,0,0.0,1,0
2105163,10732706,Manhattan,Gramercy,40.73646,-73.98337,Entire home/apt,195,3,3,0.21,1,0
13903497,2861768,Manhattan,Harlem,40.81142,-73.95134,Private room,69,15,19,0.54,3,106
20280692,46407533,Queens,Ditmars Steinway,40.78182,-73.91248,Entire home/apt,160,5,2,0.09,1,0
9074921,8163703,Brooklyn,Williamsburg,40.71238,-73.9559,Entire home/apt,150,3,12,0.28,1,0
22499295,1355958,Manhattan,East Village,40.72432,-73.98916,Private room,250,1,0,0.0,2,0
21947959,7709326,Brooklyn,Clinton Hill,40.69513,-73.96245,Entire home/apt,90,3,0,0.0,1,0
35039302,76168072,Manhattan,Midtown,40.75974,-73.97067,Entire home/apt,235,2,4,4.0,1,129
34491885,261750091,Manhattan,Theater District,40.76203,-73.98191,Private room,100,1,0,0.0,7,230
36321920,273078104,Manhattan,Upper East Side,40.76966,-73.96688,Entire home/apt,239,1,0,0.0,1,15
36455579,257261595,Manhattan,Harlem,40.80951,-73.95347,Entire home/apt,65,1,0,0.0,1,32
31760941,238118741,Bronx,Mott Haven,40.81132,-73.92037,Entire home/apt,115,3,19,3.41,1,228
31539511,235763046,Queens,Rosedale,40.66818,-73.73399,Entire home/apt,60,1,30,5.45,1,282
29873175,119990626,Brooklyn,Bushwick,40.69862,-73.92849,Private room,60,7,1,0.13,1,173
9820483,50584770,Manhattan,East Village,40.72246,-73.98006,Private room,45,14,0,0.0,1,0
2243548,9644281,Manhattan,Lower East Side,40.72082,-73.99028,Entire home/apt,300,1,2,0.05,1,0
4636874,23993707,Queens,Woodside,40.74668,-73.89723,Private room,35,5,9,0.16,2,0
4733949,706623,Brooklyn,Bushwick,40.69439,-73.9068,Private room,69,4,5,0.09,4,98
7094112,12749467,Manhattan,East Village,40.73022,-73.98893,Entire home/apt,198,30,5,0.11,1,301
9116868,8503277,Manhattan,East Village,40.7281,-73.97952,Entire home/apt,100,5,3,0.07,1,0
12132772,13750728,Bronx,Longwood,40.81928,-73.90933,Private room,60,2,47,1.22,4,249
32732490,106067584,Brooklyn,Bedford-Stuyvesant,40.69025,-73.92491,Private room,225,1,0,0.0,1,179
1097816,1709216,Brooklyn,East Flatbush,40.63612,-73.946,Entire home/apt,325,2,19,0.31,4,328
30737182,197082458,Manhattan,Upper West Side,40.7773,-73.97736,Entire home/apt,350,2,9,1.32,1,286
10537769,54339185,Brooklyn,Greenpoint,40.72963,-73.94937,Private room,45,1,0,0.0,1,0
20321714,115844816,Manhattan,Murray Hill,40.74819,-73.97201,Entire home/apt,200,6,2,0.09,1,341
2093304,9791461,Brooklyn,Fort Greene,40.69286,-73.96993,Entire home/apt,100,4,45,1.01,1,190
25571627,192874460,Brooklyn,Flatlands,40.62915,-73.9198,Entire home/apt,125,2,64,4.92,1,194
27960021,167636238,Brooklyn,Cypress Hills,40.68064,-73.88285,Private room,68,2,5,0.49,3,365
16288338,99494083,Brooklyn,Bedford-Stuyvesant,40.68322,-73.93073,Entire home/apt,115,5,47,1.53,2,91
26599049,3188892,Brooklyn,Williamsburg,40.71018,-73.94057,Private room,55,3,2,0.17,1,36
23322641,38908498,Queens,Long Island City,40.76506,-73.93234,Entire home/apt,65,15,1,0.06,1,0
12114628,17845933,Manhattan,Upper West Side,40.7889,-73.9729,Entire home/apt,300,5,3,0.08,1,9
22655068,166861637,Manhattan,Gramercy,40.73674,-73.98308,Entire home/apt,100,3,52,3.2,1,3
12561615,68094755,Manhattan,Midtown,40.75709,-73.96327,Private room,98,3,98,2.66,1,278
20044214,19474504,Brooklyn,Bedford-Stuyvesant,40.68266,-73.94321,Entire home/apt,100,1,3,0.13,1,0
33654285,3129709,Manhattan,Upper West Side,40.7867,-73.96951,Entire home/apt,165,2,0,0.0,1,5
32138645,16954523,Brooklyn,Bushwick,40.68754,-73.91231,Private room,55,7,4,0.92,1,95
35409062,266505967,Bronx,Fordham,40.86066,-73.89883,Private room,149,1,0,0.0,1,363
1961361,10134825,Manhattan,Lower East Side,40.71286,-73.98437,Private room,102,2,6,0.13,4,0
6656567,33622924,Manhattan,Harlem,40.83155,-73.94804,Private room,85,1,52,1.39,4,355
12814685,69890625,Brooklyn,Clinton Hill,40.68389,-73.96026,Private room,89,1,15,0.43,1,179
22767004,8125932,Brooklyn,Windsor Terrace,40.65892,-73.98386,Private room,45,2,26,1.6,1,74
22327260,11243357,Manhattan,Tribeca,40.72345,-74.01001,Entire home/apt,299,4,3,0.16,1,0
2690370,480923,Queens,Long Island City,40.74606,-73.95765,Entire home/apt,130,30,1,0.02,1,0
530576,263510,Manhattan,Upper West Side,40.78111,-73.97739,Private room,93,14,88,1.03,1,176
20016975,55939980,Manhattan,Midtown,40.75685,-73.96388,Entire home/apt,210,2,4,0.22,1,0
64015,146944,Manhattan,East Village,40.72807,-73.98594,Entire home/apt,200,3,0,0.0,1,0
21504381,155977656,Queens,Forest Hills,40.71711,-73.8347,Private room,70,1,34,1.67,1,93
19177262,16404967,Manhattan,Inwood,40.86699,-73.92689,Entire home/apt,90,1,17,1.68,1,64
22489858,164886138,Manhattan,Upper East Side,40.76014,-73.96098,Entire home/apt,140,1,25,1.67,11,330
10049335,5065719,Brooklyn,Greenpoint,40.73226,-73.95285,Private room,60,1,2,0.05,1,0
6244089,17264040,Bronx,Mount Hope,40.84819,-73.90648,Entire home/apt,125,2,41,0.81,2,342
32094042,228879817,Queens,Flushing,40.74588,-73.83284,Private room,49,1,14,2.76,6,121
25206790,41762539,Brooklyn,Fort Hamilton,40.62139,-74.0319,Entire home/apt,125,1,1,0.09,1,0
30517097,115193518,Brooklyn,Bushwick,40.70468,-73.92443,Private room,45,5,0,0.0,3,0
17078612,114477998,Manhattan,East Harlem,40.79154,-73.94233,Private room,65,1,186,6.38,4,199
5726139,14001033,Brooklyn,Williamsburg,40.71239,-73.96178,Private room,65,5,0,0.0,1,0
13802521,26022066,Brooklyn,Midwood,40.61295,-73.95366,Private room,50,1,10,0.3,1,0
9561650,2316568,Manhattan,East Village,40.72564,-73.98088,Private room,49,1,0,0.0,1,0
4744592,6648212,Manhattan,Morningside Heights,40.81509,-73.96019,Entire home/apt,120,4,4,0.07,1,0
22440046,164391402,Manhattan,East Village,40.72167,-73.98066,Private room,125,1,3,0.38,1,365
7746303,40703442,Manhattan,Harlem,40.80872,-73.94228,Entire home/apt,150,1,2,0.07,3,0
26833963,22919533,Brooklyn,Williamsburg,40.71193,-73.95956,Entire home/apt,200,3,32,3.58,2,141
10403667,46714717,Manhattan,Murray Hill,40.74796,-73.97018,Entire home/apt,144,3,0,0.0,1,0
7972839,1287826,Brooklyn,Prospect Heights,40.67603,-73.96941,Entire home/apt,135,4,2,0.04,1,0
14163104,85667130,Queens,Ditmars Steinway,40.77943,-73.9117,Private room,90,2,80,2.35,1,350
36384956,2628658,Brooklyn,Bedford-Stuyvesant,40.68194,-73.93567,Entire home/apt,120,30,0,0.0,2,45
17237922,116126452,Brooklyn,Williamsburg,40.70721,-73.95341,Entire home/apt,160,2,17,0.59,1,3
28849818,107434423,Manhattan,East Village,40.72272,-73.98379,Entire home/apt,314,30,0,0.0,232,330
17396669,52132241,Brooklyn,Crown Heights,40.67293,-73.93273,Private room,54,2,53,2.3,1,8
35516704,81127692,Brooklyn,Flatbush,40.64434,-73.95288,Private room,50,3,0,0.0,2,311
34938932,263272705,Queens,Long Island City,40.75659,-73.93108,Entire home/apt,275,2,1,1.0,1,266
30066243,225942423,Manhattan,Harlem,40.80652,-73.94937,Private room,68,1,33,4.25,1,19
16040987,83809962,Brooklyn,East Flatbush,40.66209,-73.92913,Shared room,50,1,23,0.74,2,364
13920697,29513490,Brooklyn,Bedford-Stuyvesant,40.6837,-73.93325,Entire home/apt,125,2,4,0.12,1,0
25802560,3543204,Brooklyn,Bushwick,40.704,-73.91492,Private room,75,2,19,1.47,1,198
36236389,271162941,Brooklyn,Midwood,40.62477,-73.95517,Private room,100,1,0,0.0,3,330
7205212,35651880,Manhattan,Upper West Side,40.79874,-73.96034,Entire home/apt,130,3,18,0.39,1,0
26324904,167568754,Queens,Middle Village,40.71064,-73.87463,Entire home/apt,100,1,4,0.34,1,0
29984118,3422235,Brooklyn,Fort Greene,40.68946,-73.97279,Entire home/apt,270,3,1,0.14,1,125
25026993,64426364,Brooklyn,Bedford-Stuyvesant,40.68593,-73.95702,Private room,48,7,6,0.45,1,0
15452878,1475812,Manhattan,Nolita,40.72104,-73.99498,Private room,130,2,123,3.79,3,59
9028839,3248277,Brooklyn,Williamsburg,40.70742,-73.94185,Entire home/apt,200,3,0,0.0,1,0
34673706,253843480,Brooklyn,Williamsburg,40.71801,-73.95244,Private room,43,1,2,1.09,1,249
35601334,5971264,Bronx,Kingsbridge,40.86429,-73.90204,Private room,60,1,0,0.0,1,83
7341983,38460304,Brooklyn,Bedford-Stuyvesant,40.69169,-73.93142,Entire home/apt,130,4,34,0.73,2,340
5106214,22984995,Manhattan,West Village,40.73822,-74.00606,Entire home/apt,275,2,11,0.21,1,0
7725825,40595718,Queens,Ozone Park,40.68792,-73.83752,Entire home/apt,79,1,22,0.49,1,130
34176788,258035043,Brooklyn,Bedford-Stuyvesant,40.67878,-73.9172,Private room,48,1,22,9.85,2,236
24370001,8961407,Manhattan,Harlem,40.80569,-73.94848,Entire home/apt,450,3,38,3.21,3,302
27992581,16223929,Manhattan,Hell's Kitchen,40.75525,-73.99597,Entire home/apt,639,3,4,0.38,1,108
8239111,36192346,Manhattan,Washington Heights,40.85415,-73.93108,Private room,40,2,9,0.2,1,0
34753379,60235514,Brooklyn,Bushwick,40.7036,-73.92496,Private room,51,1,4,2.31,1,71
2532443,4636483,Brooklyn,Sunset Park,40.63747,-74.01153,Private room,52,3,5,0.11,1,281
33439471,251625546,Brooklyn,Crown Heights,40.66949,-73.92172,Private room,65,1,6,1.91,2,323
27540139,200380610,Manhattan,West Village,40.73485,-74.00313,Entire home/apt,188,30,0,0.0,65,326
27157649,22264156,Brooklyn,Clinton Hill,40.69456,-73.96439,Private room,120,1,3,0.63,1,0
28893129,196058543,Queens,Forest Hills,40.72133,-73.83928,Private room,58,2,35,3.85,5,235
9985852,310458,Brooklyn,Park Slope,40.66588,-73.97833,Private room,60,14,1,0.03,2,0
13296897,54454582,Manhattan,Hell's Kitchen,40.76283,-73.99331,Private room,115,2,30,0.8,3,3
35808316,76572037,Manhattan,Battery Park City,40.70964,-74.01798,Entire home/apt,199,1,0,0.0,1,43
12410412,6662358,Brooklyn,Flatbush,40.64933,-73.96478,Entire home/apt,290,5,4,0.11,1,0
15769964,30283594,Manhattan,Hell's Kitchen,40.7617,-73.99762,Entire home/apt,275,30,2,0.08,121,365
34035431,177031514,Brooklyn,Sheepshead Bay,40.58438,-73.95564,Private room,60,1,4,1.85,1,341
25947875,62533391,Brooklyn,Borough Park,40.63573,-74.00552,Private room,60,1,1,0.26,7,350
25587778,46979077,Queens,Woodside,40.74286,-73.89163,Private room,50,1,57,4.37,2,295
12032987,20353296,Manhattan,East Harlem,40.79663,-73.94893,Private room,75,1,5,0.13,1,0
29631369,153754513,Brooklyn,Williamsburg,40.71258,-73.94307,Entire home/apt,82,1,15,2.02,1,16
14707648,10910171,Queens,Rockaway Beach,40.58634,-73.81867,Entire home/apt,150,1,144,4.13,2,134
13208952,290317,Manhattan,Upper East Side,40.77305,-73.96283,Shared room,99,3,48,1.53,1,0
30495558,226471554,Brooklyn,Clinton Hill,40.68535,-73.96736,Private room,65,3,4,0.62,1,0
14912574,107675,Brooklyn,Flatbush,40.64189,-73.96066,Entire home/apt,100,3,4,0.12,1,69
7714664,2520125,Brooklyn,East New York,40.66045,-73.89873,Entire home/apt,72,4,121,2.54,2,33
34943129,55040763,Manhattan,Washington Heights,40.85911,-73.93087,Private room,50,2,6,5.0,1,29
17515734,96479013,Brooklyn,Bedford-Stuyvesant,40.69499,-73.94822,Private room,81,5,42,1.58,3,63
13128747,10676792,Brooklyn,Bedford-Stuyvesant,40.68457,-73.9262,Entire home/apt,120,2,5,0.13,2,0
31594590,15147054,Brooklyn,Bushwick,40.69633,-73.93369,Entire home/apt,95,3,0,0.0,2,0
992891,458021,Manhattan,Nolita,40.72131,-73.99487,Entire home/apt,119,3,17,0.22,1,0
36265549,272747109,Manhattan,Kips Bay,40.74612,-73.9796,Entire home/apt,220,4,0,0.0,1,78
25838923,33867639,Manhattan,Chinatown,40.71457,-73.9958,Private room,122,1,71,5.5,3,91
27255632,190921808,Manhattan,Hell's Kitchen,40.75562,-73.99539,Private room,55,30,8,0.71,47,351
16478472,108160091,Brooklyn,Williamsburg,40.71002,-73.96114,Entire home/apt,218,30,25,0.82,3,342
33775190,253978780,Manhattan,Midtown,40.7528,-73.97092,Entire home/apt,150,12,4,1.38,1,118
1157522,6263282,Brooklyn,Williamsburg,40.71813,-73.95981,Entire home/apt,212,2,51,0.91,1,147
15817291,102383709,Manhattan,Harlem,40.82914,-73.94736,Private room,69,4,153,4.74,2,125
13299818,17265086,Manhattan,Kips Bay,40.73898,-73.98233,Entire home/apt,150,2,18,0.81,1,0
13490372,39177865,Brooklyn,South Slope,40.6612,-73.98568,Entire home/apt,70,70,3,0.08,1,0
951944,1408973,Manhattan,SoHo,40.72493,-74.00307,Entire home/apt,235,3,73,0.94,1,44
26663507,1116256,Brooklyn,Bushwick,40.70618,-73.91689,Entire home/apt,78,30,1,0.09,1,6
33372668,15488551,Brooklyn,Williamsburg,40.7045,-73.94357,Entire home/apt,150,6,5,2.17,1,40
28846489,40529301,Brooklyn,Fort Greene,40.69617,-73.97456,Private room,89,1,24,3.09,2,72
9881339,23500650,Manhattan,West Village,40.7385,-74.00378,Entire home/apt,200,1,0,0.0,1,0
3372399,17015217,Brooklyn,Bedford-Stuyvesant,40.68753,-73.93656,Entire home/apt,175,5,82,1.41,1,0
629949,3130534,Manhattan,Upper East Side,40.77975,-73.94977,Private room,80,1,160,1.9,1,319
20708246,11975404,Brooklyn,Bushwick,40.70088,-73.91836,Private room,50,3,22,0.98,2,0
27017924,203277214,Manhattan,Harlem,40.81033,-73.94286,Entire home/apt,150,3,30,2.59,1,159
13522613,58631330,Brooklyn,Prospect-Lefferts Gardens,40.65862,-73.95808,Private room,75,2,0,0.0,1,0
28464743,11320557,Manhattan,Chinatown,40.71624,-73.99995,Private room,100,2,35,4.32,1,6
34126672,161061302,Manhattan,Upper West Side,40.80244,-73.96592,Shared room,50,1,1,0.48,2,363
58062,277394,Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,135,2,21,0.26,1,272
24246704,25237492,Manhattan,Washington Heights,40.84103,-73.94063,Private room,65,30,3,0.26,34,311
28157869,68927337,Brooklyn,East Flatbush,40.65329,-73.92756,Shared room,50,7,1,0.11,1,179
35122826,187544628,Manhattan,Hell's Kitchen,40.76142,-73.99431,Entire home/apt,390,3,1,1.0,1,5
3688197,11371357,Brooklyn,Kensington,40.64644,-73.9756,Entire home/apt,95,1,10,0.21,1,0
34867106,10430261,Brooklyn,Bushwick,40.6999,-73.92417,Private room,52,14,0,0.0,1,31
19345943,3919533,Brooklyn,Bushwick,40.69971,-73.93729,Entire home/apt,162,2,46,1.92,1,19
16944820,67130668,Bronx,Concourse Village,40.82692,-73.92183,Private room,45,5,46,1.55,1,174
21121507,25311373,Brooklyn,Bay Ridge,40.62398,-74.02786,Private room,79,1,0,0.0,2,179
6636906,3858150,Manhattan,Morningside Heights,40.81165,-73.95639,Private room,60,9,7,0.15,1,0
1704798,8998805,Manhattan,Chelsea,40.75224,-73.99487,Private room,76,3,164,2.34,1,27
501693,1490833,Manhattan,Upper West Side,40.7952,-73.9624,Private room,99,1,280,3.51,1,246
6051856,9828418,Manhattan,Washington Heights,40.84411,-73.93764,Private room,45,2,3,0.07,1,0
9342019,22308430,Queens,Jackson Heights,40.75462,-73.88284,Entire home/apt,144,2,13,0.3,1,288
21068818,48146336,Manhattan,Hell's Kitchen,40.76269,-73.99364,Entire home/apt,130,30,4,0.23,20,272
9652413,17065519,Manhattan,Harlem,40.80407,-73.95762,Entire home/apt,89,1,1,0.02,1,0
15675274,62641421,Manhattan,Upper East Side,40.7754,-73.95236,Entire home/apt,125,2,8,0.26,1,0
1654713,5556571,Brooklyn,Williamsburg,40.70617,-73.93761,Shared room,40,1,34,0.48,3,75
33553737,76451668,Brooklyn,Bedford-Stuyvesant,40.68592,-73.92695,Entire home/apt,120,31,1,0.51,2,155
35766124,269055881,Manhattan,West Village,40.73243,-74.00333,Private room,160,3,1,1.0,1,52
24772376,16015663,Queens,Ditmars Steinway,40.77371,-73.91689,Private room,85,3,10,0.79,1,88
24561322,37580284,Manhattan,Lower East Side,40.71571,-73.98699,Entire home/apt,85,35,0,0.0,1,0
19056511,67609111,Manhattan,Harlem,40.81515,-73.9421,Private room,80,1,0,0.0,1,0
26693195,200697707,Brooklyn,Bushwick,40.68764,-73.91445,Private room,65,1,57,4.76,1,48
32834210,2279174,Manhattan,Murray Hill,40.7494,-73.9784,Entire home/apt,220,30,6,1.94,1,135
20044802,121612198,Brooklyn,Canarsie,40.64138,-73.91488,Private room,75,1,11,0.48,4,347
9960135,42741722,Manhattan,Harlem,40.82042,-73.95256,Private room,65,2,5,0.14,2,0
20292523,40321516,Manhattan,Nolita,40.72206,-73.99497,Entire home/apt,350,5,1,0.05,1,0
15230053,95459395,Manhattan,Hell's Kitchen,40.76115,-73.99823,Entire home/apt,499,30,0,0.0,18,146
21945454,11322502,Brooklyn,Bedford-Stuyvesant,40.68885,-73.95296,Entire home/apt,142,2,5,0.25,1,0
21796185,117711581,Brooklyn,Midwood,40.62914,-73.9575,Entire home/apt,116,2,2,0.11,1,0
29706277,57128179,Queens,Rego Park,40.71639,-73.85799,Private room,60,2,12,1.45,2,19
14184335,62172448,Manhattan,Upper East Side,40.76471,-73.95819,Private room,85,1,2,0.06,2,0
10022997,4628519,Manhattan,Upper West Side,40.79072,-73.97252,Entire home/apt,150,3,0,0.0,1,0
19376753,7756888,Brooklyn,Flatbush,40.63609,-73.96687,Private room,69,2,1,0.04,1,0
34176066,743732,Brooklyn,Bushwick,40.70043,-73.92266,Entire home/apt,70,30,0,0.0,1,0
4748873,24508767,Brooklyn,Williamsburg,40.71174,-73.94353,Private room,100,1,0,0.0,1,0
17234955,113805886,Manhattan,Upper East Side,40.77747,-73.95193,Entire home/apt,190,31,4,0.21,33,299
34607249,126161542,Manhattan,Harlem,40.81942,-73.95796,Entire home/apt,99,2,5,2.88,1,0
29135488,219099148,Queens,Ridgewood,40.70605,-73.90374,Private room,50,1,14,1.7,1,272
769279,1228080,Manhattan,East Village,40.72439,-73.97767,Private room,100,7,1,0.03,1,0
20306155,133810925,Queens,Rosedale,40.66524,-73.73283,Private room,84,1,89,4.01,3,356
19603055,25959120,Manhattan,East Harlem,40.78668,-73.94247,Private room,85,2,2,0.08,1,0
4037379,5642757,Brooklyn,Flatbush,40.62918,-73.96348,Entire home/apt,100,3,9,0.16,1,0
29434244,220945034,Brooklyn,Flatbush,40.63462,-73.95572,Entire home/apt,150,2,13,1.53,1,160
5770283,11722846,Brooklyn,Williamsburg,40.715,-73.95018,Entire home/apt,80,10,3,0.06,1,0
25140787,45416627,Queens,Astoria,40.77002,-73.92332,Private room,50,1,27,2.02,9,363
8087274,1903737,Brooklyn,Bushwick,40.69542,-73.93258,Private room,65,2,5,0.11,3,4
32595351,13615300,Manhattan,Harlem,40.82916,-73.9498,Entire home/apt,160,2,4,0.94,1,0
19226317,26814623,Brooklyn,Brooklyn Heights,40.69016,-73.99311,Entire home/apt,149,2,13,0.52,1,0
26365747,109040481,Manhattan,Hell's Kitchen,40.75825,-73.98982,Private room,125,1,54,4.34,1,341
32065845,240460735,Manhattan,Theater District,40.76015,-73.98497,Entire home/apt,890,1,2,0.41,1,301
35584546,267744284,Bronx,Melrose,40.82231,-73.91696,Entire home/apt,69,7,0,0.0,1,254
19582754,20761853,Manhattan,Upper East Side,40.76812,-73.95403,Private room,79,1,62,2.58,2,258
35752161,15020878,Manhattan,East Harlem,40.80622,-73.93875,Entire home/apt,115,2,0,0.0,1,3
28518320,127250744,Brooklyn,Carroll Gardens,40.68036,-73.99247,Entire home/apt,180,3,4,0.53,1,5
26496330,24079691,Brooklyn,Crown Heights,40.67863,-73.95859,Private room,70,1,2,0.17,1,0
27695755,158407820,Queens,Woodside,40.75375,-73.90037,Private room,57,2,21,1.94,5,125
13234352,72218656,Manhattan,Upper East Side,40.7626,-73.96031,Entire home/apt,199,3,57,1.51,1,93
20541408,87951927,Manhattan,Upper West Side,40.80046,-73.96598,Private room,75,1,5,0.22,1,0
13619661,78870889,Brooklyn,Williamsburg,40.71791,-73.94242,Private room,65,3,0,0.0,1,0
4422602,651770,Manhattan,East Village,40.72801,-73.98336,Entire home/apt,250,3,0,0.0,1,0
24550536,137130915,Brooklyn,Fort Greene,40.6971,-73.97316,Private room,102,2,1,0.07,1,0
674692,3425965,Queens,Ridgewood,40.70719,-73.89632,Private room,75,14,11,0.15,1,332
35005797,198836713,Manhattan,Upper West Side,40.80154,-73.96106,Entire home/apt,550,3,5,3.85,1,320
25049405,189369825,Manhattan,Tribeca,40.71612,-74.01054,Entire home/apt,500,2,1,0.09,1,363
22354307,163458740,Manhattan,SoHo,40.72547,-74.0021,Entire home/apt,190,1,94,5.18,1,187
14453434,89031106,Brooklyn,Greenpoint,40.72173,-73.94768,Entire home/apt,110,30,4,0.12,4,301
34516187,260609528,Manhattan,Battery Park City,40.7068,-74.01775,Private room,100,1,1,1.0,7,339
